Factorial,Time
0,0.000000
2,0.000000
4,0.000000
6,0.010000
8,0.000000
10,0.000000
12,0.010000
14,0.000000
30,0.010000
16,0.010000
18,0.000000
34,0.010000
32,0.010000
20,0.010000
22,0.000000
24,0.000000
26,0.010000
28,0.010000
36,0.010000
38,0.010000
40,0.010000
42,0.010000
46,0.010000
48,0.010000
44,0.010000
50,0.020000
52,0.010000
54,0.010000
56,0.010000
1181,0.360000
58,0.020000
1097,0.330000
60,0.020000
1357,0.410000
62,0.020000
1285,0.390000
1481,0.450000
64,0.020000
1421,0.430000
66,0.020000
2150,0.650000
68,0.020000
70,0.020000
1540,0.470000
72,0.020000
2101,0.640000
1907,0.580000
74,0.020000
76,0.020000
2066,0.640000
2529,0.770000
78,0.020000
2235,0.670000
80,0.030000
82,0.020000
2223,0.680000
84,0.020000
2550,0.770000
86,0.030000
2648,0.810000
88,0.030000
2703,0.820000
2477,0.760000
3026,0.920000
90,0.030000
2821,0.860000
3691,1.120000
2890,0.870000
92,0.030000
1744,0.530000
94,0.030000
96,0.030000
1593,0.480000
98,0.030000
2993,0.910000
3453,1.050000
100,0.030000
102,0.030000
104,0.030000
106,0.030000
3267,0.990000
3366,1.020000
108,0.040000
2007,0.610000
2561,0.780000
110,0.030000
112,0.030000
114,0.030000
2623,0.790000
1376,0.410000
3983,1.200000
116,0.030000
118,0.030000
3470,1.050000
120,0.040000
122,0.040000
3841,1.160000
2454,0.740000
124,0.040000
2413,0.740000
126,0.040000
128,0.040000
130,0.040000
1422,0.430000
132,0.040000
2659,0.810000
1893,0.570000
2951,0.890000
3098,0.940000
134,0.040000
136,0.040000
3634,1.110000
138,0.040000
2447,0.750000
1261,0.380000
2197,0.660000
140,0.040000
142,0.040000
1920,0.580000
144,0.040000
146,0.050000
148,0.050000
2395,0.720000
1971,0.590000
2414,0.730000
150,0.040000
3145,0.960000
152,0.050000
2721,0.820000
154,0.050000
156,0.050000
158,0.050000
1402,0.420000
3621,1.090000
160,0.040000
1230,0.380000
2913,0.880000
2039,0.620000
162,0.050000
2784,0.850000
1277,0.390000
164,0.050000
166,0.050000
168,0.050000
170,0.050000
2705,0.830000
172,0.050000
3492,1.050000
176,0.050000
174,0.050000
3457,1.040000
3353,1.010000
3768,1.150000
2566,0.780000
3177,0.960000
178,0.050000
1748,0.520000
180,0.050000
182,0.050000
184,0.050000
3123,0.940000
186,0.050000
3011,0.910000
1675,0.510000
2571,0.780000
188,0.060000
190,0.060000
192,0.050000
3745,1.140000
2311,0.690000
194,0.060000
196,0.050000
198,0.060000
1518,0.460000
200,0.060000
202,0.060000
1614,0.490000
2796,0.850000
204,0.060000
2533,0.770000
206,0.060000
2568,0.780000
2931,0.890000
208,0.070000
3282,1.000000
1124,0.340000
210,0.060000
212,0.060000
3130,0.950000
214,0.060000
1705,0.510000
216,0.070000
2771,0.840000
2073,0.620000
218,0.070000
2152,0.650000
3990,1.210000
220,0.060000
2254,0.680000
222,0.070000
224,0.070000
226,0.070000
1977,0.600000
3383,1.030000
2810,0.850000
2430,0.740000
228,0.070000
1820,0.550000
230,0.070000
232,0.070000
1710,0.510000
1508,0.460000
3402,1.020000
3056,0.930000
234,0.070000
236,0.070000
2866,0.860000
3753,1.140000
238,0.070000
240,0.070000
242,0.080000
1645,0.500000
244,0.070000
246,0.080000
248,0.080000
1118,0.340000
2726,0.830000
250,0.080000
3879,1.170000
252,0.070000
1998,0.600000
1499,0.450000
2376,0.720000
254,0.070000
256,0.070000
258,0.080000
260,0.080000
262,0.080000
1849,0.570000
264,0.080000
3690,1.110000
266,0.080000
268,0.090000
270,0.080000
3926,1.190000
2527,0.770000
1465,0.450000
272,0.080000
2617,0.790000
1146,0.340000
2940,0.890000
274,0.080000
276,0.080000
1928,0.580000
278,0.080000
280,0.090000
3247,0.980000
2208,0.670000
2464,0.740000
1511,0.450000
282,0.090000
2040,0.620000
284,0.080000
2211,0.670000
286,0.080000
3142,0.950000
288,0.090000
1580,0.480000
290,0.090000
292,0.100000
2865,0.870000
294,0.090000
296,0.090000
3097,0.940000
298,0.090000
1659,0.500000
300,0.090000
3543,1.070000
302,0.090000
304,0.090000
2189,0.660000
306,0.090000
3399,1.030000
3239,0.980000
3998,1.220000
308,0.090000
3905,1.180000
310,0.090000
3508,1.060000
2450,0.740000
312,0.100000
2719,0.820000
314,0.100000
316,0.100000
318,0.100000
320,0.100000
2466,0.750000
3719,1.120000
322,0.100000
1163,0.350000
1305,0.390000
3924,1.190000
324,0.100000
2030,0.610000
326,0.100000
2645,0.810000
2090,0.630000
328,0.100000
2218,0.680000
1167,0.350000
3240,0.970000
330,0.100000
332,0.090000
334,0.100000
2313,0.710000
336,0.100000
340,0.100000
338,0.110000
3262,0.990000
3372,1.020000
2323,0.710000
342,0.100000
3318,1.000000
2236,0.680000
1597,0.480000
344,0.100000
346,0.100000
3180,0.970000
348,0.110000
3912,1.190000
350,0.110000
352,0.100000
3496,1.060000
354,0.110000
2008,0.600000
356,0.110000
1932,0.580000
1799,0.550000
358,0.110000
3795,1.140000
360,0.110000
1252,0.380000
362,0.110000
2048,0.620000
1022,0.310000
364,0.110000
366,0.110000
368,0.110000
370,0.110000
1480,0.450000
372,0.110000
3151,0.950000
374,0.110000
3865,1.160000
376,0.110000
3973,1.210000
382,0.110000
1570,0.480000
378,0.110000
380,0.110000
1062,0.320000
2316,0.700000
384,0.110000
386,0.110000
1846,0.560000
388,0.120000
2979,0.900000
2878,0.870000
390,0.120000
2288,0.690000
392,0.120000
394,0.120000
1561,0.480000
396,0.120000
1937,0.590000
3396,1.030000
3034,0.910000
398,0.130000
2082,0.630000
3711,1.120000
2789,0.840000
1731,0.530000
2676,0.810000
1888,0.590000
2335,0.710000
3427,1.040000
3420,1.040000
3261,0.990000
3645,1.090000
3867,1.170000
3274,1.000000
2916,0.880000
2360,0.710000
2742,0.830000
3114,0.950000
3195,0.970000
2921,0.890000
3951,1.200000
3173,0.960000
